root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;columnTiling;rowTiling;threads_1;threads_2;threads_4;threads_8;threads;arnrMaxFrames_0;arnrMaxFrames_5;arnrMaxFrames_15;arnrMaxFrames;arnrStrength_0;arnrStrength_3;arnrStrength_6;arnrStrength;revision;performance;size;cpu
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;v1.3.0;158316.4;237487;3.545812
1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;v1.3.0;158784.2;237487;3.555884
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;v1.3.0;158436.2;237487;3.539053
1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;v1.3.0;158634.4;237487;3.527642
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;1;v1.3.0;158783;237487;3.542826
1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;v1.3.0;158942.8;237487;3.624912
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;v1.3.0;158605.6;237487;3.530745
1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1;v1.3.0;158832.8;237487;3.662354
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;1;v1.3.0;159003;237487;3.531772
1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;v1.3.0;158457;237487;3.672459
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;v1.3.0;158670;237487;3.502159
1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;v1.3.0;158622.8;237487;3.417262
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;v1.3.0;158480.4;237487;3.43511
1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;v1.3.0;158690.8;237487;3.369787
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;v1.3.0;158522;237487;3.542777
1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;v1.3.0;158879.4;237487;3.616372
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;v1.3.0;158417;237487;3.530789
1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;v1.3.0;158572;237487;3.534475
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;v1.3.0;158461.2;237487;3.554041
1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;v1.3.0;158492.6;237487;3.542839
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;1;0;1;v1.3.0;158495.6;237487;3.523623
1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;1;0;1;v1.3.0;158150.6;237487;3.558926
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1;v1.3.0;158121.2;237487;3.552102
1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;1;v1.3.0;159079.8;237487;3.639369
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;v1.3.0;158846.4;237487;3.556367
1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;v1.3.0;158897.4;237487;3.535435
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;1;v1.3.0;158359.2;237487;3.459745
